,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
710,2022-01-01,7405735.180881772,7031286.5170159135,7330936.673005064,7405735.180881772,7405735.180881772,-219527.730954977,-219527.730954977,-219527.730954977,3547613.3822858147,3547613.3822858147,3547613.3822858147,13534.014675972514,13534.014675972514,13534.014675972514,-3780675.1279167645,-3780675.1279167645,-3780675.1279167645,0.0,0.0,0.0,7186207.449926795
711,2022-01-02,7494842.035799623,7081045.044408924,7361054.144522847,7494842.035799623,7494842.035799623,-277125.47401009203,-277125.47401009203,-277125.47401009203,3547613.3822858147,3547613.3822858147,3547613.3822858147,3529.952451767793,3529.952451767793,3529.952451767793,-3828268.808747675,-3828268.808747675,-3828268.808747675,0.0,0.0,0.0,7217716.56178953
712,2022-01-03,7583948.890717483,7112451.876755915,7395189.411586205,7583948.890717483,7583948.890717483,-338009.32618745416,-338009.32618745416,-338009.32618745416,3547613.3822858147,3547613.3822858147,3547613.3822858147,-11203.695612129244,-11203.695612129244,-11203.695612129244,-3874419.0128611396,-3874419.0128611396,-3874419.0128611396,0.0,0.0,0.0,7245939.564530029
713,2022-01-04,7673055.745635344,7148860.406624624,7425438.463880788,7673055.745635344,7673055.745635344,-386269.6130242071,-386269.6130242071,-386269.6130242071,3547613.3822858147,3547613.3822858147,3547613.3822858147,-14932.797321989838,-14932.797321989838,-14932.797321989838,-3918950.197988031,-3918950.197988031,-3918950.197988031,0.0,0.0,0.0,7286786.132611137
714,2022-01-05,7762162.600553193,7188445.773574111,7479325.425722565,7762162.600553193,7762162.600553193,-421268.21669948974,-421268.21669948974,-421268.21669948974,3547613.3822858147,3547613.3822858147,3547613.3822858147,-7207.475292601492,-7207.475292601492,-7207.475292601492,-3961674.123692703,-3961674.123692703,-3961674.123692703,0.0,0.0,0.0,7340894.383853704
715,2022-01-06,7851269.455471043,7256325.18234155,7542469.949850072,7851269.455471043,7851269.455471043,-449669.79109798005,-449669.79109798005,-449669.79109798005,3547613.3822858147,3547613.3822858147,3547613.3822858147,5106.770905499503,5106.770905499503,5106.770905499503,-4002389.9442892945,-4002389.9442892945,-4002389.9442892945,0.0,0.0,0.0,7401599.664373063
716,2022-01-07,7940376.310388904,7302689.891609718,7604096.331204129,7940376.310388904,7940376.310388904,-482098.0923609663,-482098.0923609663,-482098.0923609663,3547613.3822858147,3547613.3822858147,3547613.3822858147,11173.230193507821,11173.230193507821,11173.230193507821,-4040884.7048402885,-4040884.7048402885,-4040884.7048402885,0.0,0.0,0.0,7458278.218027938
717,2022-01-08,8029483.165306765,7364066.234584441,7656071.964696986,8029483.165306765,8029483.165306765,-515786.86406323226,-515786.86406323226,-515786.86406323226,3547613.3822858147,3547613.3822858147,3547613.3822858147,13534.014675983439,13534.014675983439,13534.014675983439,-4076934.26102503,-4076934.26102503,-4076934.26102503,0.0,0.0,0.0,7513696.301243532
718,2022-01-09,8118590.020224614,7408941.273405288,7709702.956342214,8118590.020224614,8118590.020224614,-559161.2980072697,-559161.2980072697,-559161.2980072697,3547613.3822858147,3547613.3822858147,3547613.3822858147,3529.9524517582367,3529.9524517582367,3529.9524517582367,-4110304.632744842,-4110304.632744842,-4110304.632744842,0.0,0.0,0.0,7559428.722217345
719,2022-01-10,8207696.875142475,7456766.649424263,7732151.182429228,8207696.875142475,8207696.875142475,-604344.1031050733,-604344.1031050733,-604344.1031050733,3547613.3822858147,3547613.3822858147,3547613.3822858147,-11203.695612138972,-11203.695612138972,-11203.695612138972,-4140753.7897787495,-4140753.7897787495,-4140753.7897787495,0.0,0.0,0.0,7603352.772037402
720,2022-01-11,8296803.730060324,7519890.252173345,7796729.795846156,8296803.730060324,8296803.730060324,-635353.2709767021,-635353.2709767021,-635353.2709767021,3547613.3822858147,3547613.3822858147,3547613.3822858147,-14932.797321990132,-14932.797321990132,-14932.797321990132,-4168033.855940526,-4168033.855940526,-4168033.855940526,0.0,0.0,0.0,7661450.459083622
721,2022-01-12,8385910.584978174,7594839.006863308,7890308.766336835,8385910.584978174,8385910.584978174,-651487.799301064,-651487.799301064,-651487.799301064,3547613.3822858147,3547613.3822858147,3547613.3822858147,-7207.475292593291,-7207.475292593291,-7207.475292593291,-4191893.7062942856,-4191893.7062942856,-4191893.7062942856,0.0,0.0,0.0,7734422.785677111
